Month,Visitors,Books Checked Out,eBooks Downloaded,Public Computer Use,Event Attendance
January,1200,850,400,300,150
February,1100,760,380,280,140
March,1300,900,420,320,160
April,1250,880,405,310,155
May,1400,950,430,350,170
June,1300,890,410,330,165
July,1350,910,415,340,160
August,1380,920,425,345,162
September,1450,930,440,350,170
October,1500,1000,465,360,175
November,1200,890,430,320,155
December,1250,870,420,310,150
January(Next Year),1300,910,430,330,160
February(Next Year),1180,880,420,325,158
