Quarter, Fiction, Non-Fiction, Science and Tech, Biographies, Kids, Teen, Historical, Mystery/Thriller, Self-help, Cookbooks, Magazines
Q1-2022, 1200, 1130, 520, 430, 350, 300, 580, 970, 450, 410, 300
Q2-2022, 1180, 1150, 510, 420, 375, 320, 600, 955, 475, 435, 320
Q3-2022, 1220, 1175, 505, 440, 390, 310, 590, 990, 460, 420, 310
Q4-2022, 1250, 1100, 550, 455, 420, 330, 610, 1000, 480, 450, 325
Q1-2023, 1300, 1080, 540, 470, 410, 340, 620, 1015, 490, 460, 335
Q2-2023, 1275, 1095, 565, 465, 430, 355, 600, 1020, 500, 440, 345
Q3-2023, 1290, 1120, 575, 480, 445, 365, 610, 1025, 530, 425, 350
Q4-2023, 1310, 1115, 595, 495, 460, 375, 630, 1040, 550, 435, 365
Q1-2024, 1340, 1150, 600, 510, 470, 390, 640, 1055, 560, 455, 370
Q2-2024, 1350, 1130, 620, 505, 485, 400, 650, 1060, 570, 460, 380
Q3-2024, 1365, 1145, 630, 515, 490, 410, 660, 1065, 580, 465, 390
