Quarter, Product Sales, Consulting, Installation, Maintenance, Training, Custom Work
Q1 2021, 30%, 20%, 25%, 10%, 10%, 5%
Q2 2021, 35%, 15%, 20%, 10%, 10%, 10%
Q3 2021, 40%, 15%, 15%, 10%, 10%, 10%
Q4 2021, 45%, 10%, 15%, 10%, 10%, 10%
Q1 2022, 40%, 15%, 20%, 10%, 10%, 5%
Q2 2022, 38%, 17%, 18%, 12%, 10%, 5%
Q3 2022, 30%, 20%, 25%, 12%, 8%, 5%
Q4 2022, 45%, 12%, 18%, 10%, 10%, 5%
Q1 2023, 42%, 15%, 20%, 8%, 10%, 5%
Q2 2023, 40%, 18%, 17%, 10%, 10%, 5%
Q3 2023, 38%, 18%, 19%, 10%, 9%, 6%
Q4 2023, 46%, 12%, 17%, 9%, 11%, 5%
