Month,Mystery & Thriller,Romance,Science Fiction,Fantasy,Non-Fiction,Biographies,Children's Literature,Young Adult,History,Graphic Novels,Cookbooks,Self-Help
January,120,90,80,110,130,70,140,85,65,50,30,40
February,85,95,70,90,145,80,150,75,70,45,35,50
March,98,110,75,105,155,95,160,90,80,55,45,65
April,110,120,90,100,150,100,170,95,85,60,40,70
May,115,123,88,95,160,110,180,100,75,65,50,75
June,95,115,78,85,150,105,175,90,70,55,45,60
July,80,100,70,90,145,90,165,85,68,58,38,55
August,85,105,85,93,155,92,170,88,72,60,42,58
September,90,110,95,100,160,95,180,95,75,65,50,65
October,100,115,85,105,165,100,190,100,85,70,55,72
November,105,120,90,110,170,110,195,105,80,75,60,80
December,130,140,110,120,180,115,200,110,88,77,65,85
