Category, Week 1, Week 2, Week 3, Week 4, Week 5, Week 6, Week 7, Week 8, Week 9, Week 10
Fiction, 22%, 20%, 23%, 26%, 24%, 25%, 20%, 22%, 23%, 21%
Mystery/Thriller, 18%, 19%, 18%, 17%, 16%, 19%, 20%, 19%, 18%, 17%
Science Fiction, 10%, 9%, 11%, 10%, 11%, 9%, 11%, 10%, 9%, 11%
Fantasy, 15%, 14%, 15%, 14%, 14%, 13%, 14%, 16%, 15%, 14%
Non-Fiction, 14%, 15%, 13%, 12%, 14%, 15%, 16%, 14%, 15%, 17%
Biographies, 7%, 8%, 7%, 10%, 8%, 7%, 8%, 7%, 8%, 6%
Self-help, 5%, 5%, 4%, 3%, 4%, 3%, 3%, 4%, 4%, 6%
Children's Books, 4%, 5%, 5%, 4%, 6%, 5%, 4%, 3%, 2%, 3%
Young Adult, 3%, 2%, 3%, 2%, 3%, 4%, 3%, 2%, 3%, 2%
Graphic Novels, 2%, 3%, 2%, 1%, 1%, 2%, 1%, 1%, 1%, 1%
History, 2%, 1%, 2%, 1%, 2%, 1%, 1%, 2%, 2%, 2%
Languages & Linguistics, 1%, 1%, 1%, 1%, 1%, 1%, 1%, 1%, 1%, 1%
