Week,Steps
202301_W1,10235
202301_W2,9780
202301_W3,10659
202301_W4,11345
202302_W1,10456
202302_W2,9950
202302_W3,11530
202302_W4,11020
202303_W1,12000
202303_W2,9780
202303_W3,9801
202303_W4,10200
202304_W1,9900
202304_W2,9850
202304_W3,11670
202304_W4,11005
202305_W1,11300
202305_W2,11420
202305_W3,12010
202305_W4,12500
202306_W1,10010
202306_W2,10500
202306_W3,10780
202306_W4,11200
202307_W1,9850
202307_W2,9700
202307_W3,10230
202307_W4,10010
202308_W1,12400
202308_W2,11850
202308_W3,12260
202308_W4,12660
202309_W1,10300
202309_W2,10520
202309_W3,10800
202309_W4,11500
202310_W1,9900
202310_W2,12010
202310_W3,11000
202310_W4,11250
202311_W1,10550
202311_W2,10790
202311_W3,9900
202311_W4,9800
202312_W1,9950
202312_W2,10050
202312_W3,12050
202312_W4,12200
202401_W1,10200
202401_W2,10300
202401_W3,10850
202401_W4,10700
202402_W1,11200
202402_W2,11020
202402_W3,11300
202402_W4,11480
202403_W1,10250
202403_W2,10100
202403_W3,10600
202403_W4,10800
