Week,ScreenTime(h)
2023-W01,25
2023-W02,30
2023-W03,27
2023-W04,35
2023-W05,40
2023-W06,42
2023-W07,28
2023-W08,31
2023-W09,20
2023-W10,22
2023-W11,33
2023-W12,38
2023-W13,41
2023-W14,29
2023-W15,24
2023-W16,36
2023-W17,37
2023-W18,32
2023-W19,23
2023-W20,26
2023-W21,34
2023-W22,39
2023-W23,43
2023-W24,45
2023-W25,27
2023-W26,30
2023-W27,33
2023-W28,22
2023-W29,28
2023-W30,36
2023-W31,40
2023-W32,21
2023-W33,24
2023-W34,26
2023-W35,29
2023-W36,31
2023-W37,20
2023-W38,23
2023-W39,25
2023-W40,41
2023-W41,43
2023-W42,35
2023-W43,37
2023-W44,32
2023-W45,34
2023-W46,39
2023-W47,27
2023-W48,30
2023-W49,28
2023-W50,25
