dist_group,main_mode,trips,mode,scaled_trips,source,tripdistancegroupindex,pct
0 - 1000,bike,9933,bike,39732,sim,0,0.15
0 - 1000,car,5920,car,23680,sim,0,0.11
0 - 1000,pt,2461,pt,9844,sim,0,0.02
0 - 1000,walk,84384,walk,337536,sim,0,0.72
1000 - 3000,bike,49716,bike,198864,sim,1,0.26
1000 - 3000,car,45395,car,181580,sim,1,0.35
1000 - 3000,pt,31341,pt,125364,sim,1,0.13
1000 - 3000,walk,23605,walk,94420,sim,1,0.26
3000 - 5000,bike,18383,bike,73532,sim,2,0.26
3000 - 5000,car,30013,car,120052,sim,2,0.5
3000 - 5000,pt,20161,pt,80644,sim,2,0.24
3000 - 5000,walk,281,walk,1124,sim,2,0.0
5000 - 10000,bike,5441,bike,21764,sim,3,0.13
5000 - 10000,car,45974,car,183896,sim,3,0.59
5000 - 10000,pt,22012,pt,88048,sim,3,0.27
5000 - 10000,walk,96,walk,384,sim,3,0.01
10000+,bike,144,bike,576,sim,4,0.04
10000+,car,54147,car,216588,sim,4,0.76
10000+,pt,18463,pt,73852,sim,4,0.19
10000+,walk,29,walk,116,sim,4,0.01
0 - 1000,bike,9933,bike,39732,srv,0,0.1
0 - 1000,car,5920,car,23680,srv,0,0.06
0 - 1000,pt,2461,pt,9844,srv,0,0.02
0 - 1000,walk,84384,walk,337536,srv,0,0.82
1000 - 3000,bike,49716,bike,198864,srv,1,0.33
1000 - 3000,car,45395,car,181580,srv,1,0.3
1000 - 3000,pt,31341,pt,125364,srv,1,0.21
1000 - 3000,walk,23605,walk,94420,srv,1,0.16
3000 - 5000,bike,18383,bike,73532,srv,2,0.27
3000 - 5000,car,30013,car,120052,srv,2,0.44
3000 - 5000,pt,20161,pt,80644,srv,2,0.29
3000 - 5000,walk,281,walk,1124,srv,2,0.0
5000 - 10000,bike,5441,bike,21764,srv,3,0.08
5000 - 10000,car,45974,car,183896,srv,3,0.62
5000 - 10000,pt,22012,pt,88048,srv,3,0.3
5000 - 10000,walk,96,walk,384,srv,3,0.0
10000+,bike,144,bike,576,srv,4,0.0
10000+,car,54147,car,216588,srv,4,0.75
10000+,pt,18463,pt,73852,srv,4,0.25
10000+,walk,29,walk,116,srv,4,0.0
