""
Continent,Country,Technology_Investment
Asia,China,32000
Asia,India,22000
Asia,Japan,15000
Asia,South Korea,14000
Asia,Indonesia,5000
Europe,Germany,25000
Europe,United Kingdom,20000
Europe,France,18000
Europe,Russia,10000
Africa,Nigeria,800
Africa,South Africa,1500
Africa,Egypt,1200
North America,United States,45000
North America,Canada,20000
North America,Mexico,3000
South America,Brazil,6000
South America,Argentina,2500
South America,Colombia,2000
Oceania,Australia,8000
Oceania,New Zealand,3500
Oceania,Papua New Guinea,700
""
