""
Region,Number_of_Trees,Carbon_Sequestration
Amazon Rainforest,50000,600000
Congo Rainforest,30000,400000
Southeast Asian Rainforest,20000,250000
Temperate Deciduous Forest,15000,200000
Boreal Forest,35000,450000
Mediterranean Forest,10000,150000
Temperate Coniferous Forest,12000,160000
Mangrove Forest,8000,100000
Savanna Woodland,18000,220000
Tropical Dry Forest,14000,180000
Cloud Forest,6000,75000
Tropical Montane Forest,11000,135000
Flooded Grasslands,7000,90000
Montane Grasslands,9000,120000
Polar Desert,500,3000
""
