""
City,Job Type,Number of Postings
San Francisco,Software Developer,300
San Francisco,Data Analyst,120
San Francisco,DevOps Engineer,90
New York,Software Developer,280
New York,Data Analyst,130
New York,DevOps Engineer,110
Seattle,Software Developer,200
Seattle,Data Analyst,100
Seattle,DevOps Engineer,80
Austin,Software Developer,180
Austin,Data Analyst,90
Austin,DevOps Engineer,70
Boston,Software Developer,160
Boston,Data Analyst,80
Boston,DevOps Engineer,60
Chicago,Software Developer,220
Chicago,Data Analyst,110
Chicago,DevOps Engineer,85
""
