""
City,Category,Number of Mentions
New York,Startups,320
New York,Marketing,280
New York,Finance,150
San Francisco,Startups,350
San Francisco,Marketing,290
San Francisco,Finance,180
Seattle,Startups,200
Seattle,Marketing,150
Seattle,Finance,120
Austin,Startups,210
Austin,Marketing,170
Austin,Finance,130
Boston,Startups,190
Boston,Marketing,160
Boston,Finance,110
Chicago,Startups,230
Chicago,Marketing,190
Chicago,Finance,140
Miami,Startups,180
Miami,Marketing,140
Miami,Finance,100
Los Angeles,Startups,240
Los Angeles,Marketing,200
Los Angeles,Finance,170
New York,Consulting,180
San Francisco,Consulting,190
Seattle,Consulting,140
Austin,Consulting,160
Boston,Consulting,150
Chicago,Consulting,170
Miami,Consulting,130
Los Angeles,Consulting,210
New York,E-Commerce,300
San Francisco,E-Commerce,320
Seattle,E-Commerce,250
Austin,E-Commerce,270
Boston,E-Commerce,260
Chicago,E-Commerce,280
Miami,E-Commerce,230
Los Angeles,E-Commerce,310
""
