""
Category,Subcategory,Value
Health,Nutrition,1600
Health,Exercise,1200
Health,Mental Health,800
Health,Disease Prevention,600
Technology,AI,1400
Technology,Blockchain,900
Technology,Quantum Computing,700
Technology,VR/AR,500
Environment,Climate Change,1500
Environment,Recycling,1100
Environment,Wildlife Conservation,700
Environment,Pollution Control,500
Finance,Investing,1300
Finance,Cryptocurrency,900
Finance,Insurance,800
Finance,Personal Finance,600
Education,E-learning,1700
Education,Higher Education,1200
Education,Primary Education,800
Education,Vocational Training,500
""
