""
Continent,Country,Fitness_Expenditure
Asia,China,30000
Asia,India,25000
Asia,Japan,20000
Asia,South Korea,15000
Europe,Germany,28000
Europe,United Kingdom,26000
Europe,France,23000
Europe,Italy,21000
Africa,Nigeria,8000
Africa,South Africa,10000
Africa,Kenya,7000
North America,United States,50000
North America,Canada,30000
North America,Mexico,20000
South America,Brazil,15000
South America,Argentina,12000
South America,Chile,10000
Oceania,Australia,25000
Oceania,New Zealand,18000
Oceania,Fiji,9000
Asia,Thailand,12000
Europe,Spain,22000
Europe,Netherlands,20000
Africa,Egypt,9000
North America,Jamaica,7000
South America,Colombia,11000
Oceania,Papua New Guinea,8000
Asia,Malaysia,16000
Europe,Norway,24000
Africa,Ethiopia,6000
North America,Panama,5000
South America,Peru,9000
Oceania,Samoa,6000
""
