""
Destination,Visitors (in millions),Color
France,82,#FF6347
Spain,81,#FFA07A
United States,79,#20B2AA
China,63,#87CEFA
Italy,62,#4682B4
Turkey,51,#6A5ACD
Mexico,49,#7B68EE
Germany,39,#ADFF2F
Thailand,38,#32CD32
United Kingdom,37,#00FA9A
Japan,32,#FFD700
Malaysia,26,#FF4500
Russia,24,#FF8C00
Canada,22,#FF1493
Australia,21,#8A2BE2
Greece,19,#BA55D3
Brazil,18,#9370DB
India,17,#8B008B
Portugal,15,#9400D3
Vietnam,13,#9932CC
Netherlands,12,#8B4513
Egypt,11,#BC8F8F
South Korea,10,#D2691E
South Africa,9,#B8860B
Indonesia,8,#CD5C5C
""
