""
City,Activity,Number of Activities
Paris,City Tours,150
Paris,Museum Visits,120
Paris,Culinary Tours,90
Paris,Nightlife,60
New York,City Tours,180
New York,Museum Visits,130
New York,Culinary Tours,110
New York,Nightlife,70
Rome,City Tours,160
Rome,Museum Visits,100
Rome,Culinary Tours,80
Rome,Nightlife,50
Tokyo,City Tours,200
Tokyo,Museum Visits,140
Tokyo,Culinary Tours,100
Tokyo,Nightlife,80
Sydney,City Tours,130
Sydney,Museum Visits,90
Sydney,Culinary Tours,70
Sydney,Nightlife,60
London,City Tours,170
London,Museum Visits,110
London,Culinary Tours,90
London,Nightlife,75
Dubai,City Tours,140
Dubai,Museum Visits,120
Dubai,Culinary Tours,85
Dubai,Nightlife,65
Barcelona,City Tours,160
Barcelona,Museum Visits,110
Barcelona,Culinary Tours,95
Barcelona,Nightlife,70
""
