""
City,Category,Number of Mentions
New York,Concerts,350
New York,Theater,300
New York,Opera,180
San Francisco,Concerts,340
San Francisco,Theater,290
San Francisco,Opera,200
Seattle,Concerts,220
Seattle,Theater,170
Seattle,Opera,150
Austin,Concerts,230
Austin,Theater,190
Austin,Opera,140
Boston,Concerts,210
Boston,Theater,180
Boston,Opera,160
Chicago,Concerts,260
Chicago,Theater,230
Chicago,Opera,190
Miami,Concerts,200
Miami,Theater,170
Miami,Opera,140
Los Angeles,Concerts,280
Los Angeles,Theater,240
Los Angeles,Opera,200
""
