""
Country,Gold Medals,Color
USA,39,#FFD700
China,38,#FF0000
Japan,27,#1F77B4
Great Britain,22,#2CA02C
ROC,20,#9467BD
Australia,17,#8C564B
Netherlands,10,#E377C2
France,10,#7F7F7F
Germany,10,#BCBD22
Italy,10,#17BECF
Canada,7,#FF7F0E
Brazil,7,#1F77B4
New Zealand,7,#2CA02C
Cuba,7,#D62728
Hungary,6,#9467BD
South Korea,6,#8C564B
Poland,4,#E377C2
Czech Republic,4,#7F7F7F
Kenya,4,#BCBD22
Norway,4,#17BECF
Jamaica,4,#FF7F0E
Spain,3,#1F77B4
Sweden,3,#2CA02C
Switzerland,3,#D62728
Denmark,3,#9467BD
Croatia,3,#8C564B
Iran,3,#E377C2
Serbia,3,#7F7F7F
Belgium,3,#BCBD22
Bulgaria,3,#17BECF
""
