""
City,Category,Number of Mentions
New York,Innovation,320
New York,Sustainability,280
New York,Artificial Intelligence,150
San Francisco,Innovation,350
San Francisco,Sustainability,290
San Francisco,Artificial Intelligence,180
Seattle,Innovation,200
Seattle,Sustainability,150
Seattle,Artificial Intelligence,120
Austin,Innovation,210
Austin,Sustainability,170
Austin,Artificial Intelligence,130
Boston,Innovation,190
Boston,Sustainability,160
Boston,Artificial Intelligence,110
Chicago,Innovation,230
Chicago,Sustainability,190
Chicago,Artificial Intelligence,140
Miami,Innovation,180
Miami,Sustainability,140
Miami,Artificial Intelligence,100
Los Angeles,Innovation,240
Los Angeles,Sustainability,200
Los Angeles,Artificial Intelligence,170
Denver,Innovation,190
Denver,Sustainability,180
Denver,Artificial Intelligence,160
Dallas,Innovation,220
Dallas,Sustainability,190
Dallas,Artificial Intelligence,150
Phoenix,Innovation,200
Phoenix,Sustainability,170
Phoenix,Artificial Intelligence,140
Philadelphia,Innovation,230
Philadelphia,Sustainability,210
Philadelphia,Artificial Intelligence,180
San Diego,Innovation,210
San Diego,Sustainability,190
San Diego,Artificial Intelligence,160
San Jose,Innovation,200
San Jose,Sustainability,180
San Jose,Artificial Intelligence,150
""
