""
Country,Destination,Number of Visitors
France,Paris,1500
France,Nice,800
France,Lyon,500
France,Marseille,450
Italy,Rome,1400
Italy,Venice,900
Italy,Milan,600
Italy,Florence,500
Spain,Barcelona,1300
Spain,Madrid,1200
Spain,Seville,700
Spain,Valencia,600
Germany,Berlin,1100
Germany,Munich,800
Germany,Hamburg,700
Germany,Frankfurt,500
UK,London,1600
UK,Edinburgh,900
UK,Manchester,800
UK,Liverpool,700
Netherlands,Amsterdam,1000
Netherlands,Rotterdam,700
Netherlands,Utrecht,500
Netherlands,The Hague,400
Greece,Athens,800
Greece,Santorini,600
Greece,Mykonos,500
Greece,Crete,400
""
