""
City,Category,Number of Mentions
New York,Mental Health,320
New York,Physical Health,280
New York,Nutrition,150
San Francisco,Mental Health,350
San Francisco,Physical Health,290
San Francisco,Nutrition,180
Seattle,Mental Health,200
Seattle,Physical Health,150
Seattle,Nutrition,120
Austin,Mental Health,210
Austin,Physical Health,170
Austin,Nutrition,130
Boston,Mental Health,190
Boston,Physical Health,160
Boston,Nutrition,110
Chicago,Mental Health,230
Chicago,Physical Health,190
Chicago,Nutrition,140
Miami,Mental Health,180
Miami,Physical Health,140
Miami,Nutrition,100
Los Angeles,Mental Health,240
Los Angeles,Physical Health,200
Los Angeles,Nutrition,170
""
