""
Continent,Country,Visitors
North America,United States,35000000
North America,Canada,22000000
North America,Mexico,18000000
Europe,Germany,27000000
Europe,France,32000000
Europe,United Kingdom,30000000
Europe,Italy,25000000
Asia,China,45000000
Asia,Japan,30000000
Asia,India,29000000
Asia,Thailand,27000000
Asia,Malaysia,25000000
South America,Brazil,18000000
South America,Argentina,12000000
Africa,South Africa,13000000
Africa,Egypt,15000000
Oceania,Australia,18000000
Oceania,New Zealand,9000000
North America,Cuba,5000000
South America,Chile,8000000
Europe,Spain,29000000
Africa,Kenya,7000000
Asia,Indonesia,25000000
Asia,South Korea,20000000
""
