""
Category,Subcategory,Amount
Business & Entrepreneurship,Startups,1200
Business & Entrepreneurship,Small Businesses,900
Business & Entrepreneurship,Corporations,1500
Business & Entrepreneurship,Freelancers,600
Business & Entrepreneurship,Investments,1100
Business & Entrepreneurship,Marketing,800
Business & Entrepreneurship,Sales,1000
Business & Entrepreneurship,Consulting,700
Business & Entrepreneurship,Finance,1300
Business & Entrepreneurship,HR,500
Business & Entrepreneurship,Legal,400
Business & Entrepreneurship,IT Services,950
Business & Entrepreneurship,Manufacturing,850
Business & Entrepreneurship,Retail,720
Business & Entrepreneurship,Customer Support,530
Business & Entrepreneurship,Operations,470
Business & Entrepreneurship,Research & Development,650
Business & Entrepreneurship,Sustainability,300
Business & Entrepreneurship,Innovation,550
Business & Entrepreneurship,Leadership,770
Business & Entrepreneurship,Management,900
Business & Entrepreneurship,Strategy,820
Business & Entrepreneurship,Logistics,480
Business & Entrepreneurship,Suppliers,520
Business & Entrepreneurship,Quality Control,430
Business & Entrepreneurship,Project Management,610
Business & Entrepreneurship,Public Relations,760
Business & Entrepreneurship,Product Development,670
Business & Entrepreneurship,Advertising,780
""
