""
Category,Subcategory,Popularity (in million)
Food & Nutrition,Fruits,2800
Food & Nutrition,Vegetables,2400
Food & Nutrition,Grains,2000
Food & Nutrition,Dairy,1600
Food & Nutrition,Meat,1500
Food & Nutrition,Seafood,1400
Food & Nutrition,Sweets,1200
Food & Nutrition,Beverages,1100
Food & Nutrition,Nuts & Seeds,1000
Food & Nutrition,Spices & Herbs,900
Food & Nutrition,Snacks,850
Food & Nutrition,Bakery,800
Food & Nutrition,Condiments,750
Food & Nutrition,Supplements,700
Food & Nutrition,Fast Food,650
Food & Nutrition,Organic Food,600
Food & Nutrition,Gourmet Food,550
Food & Nutrition,Street Food,500
""
