""
City,Category,Number of Mentions
New York,Astronomy,350
New York,Biology,270
New York,Chemistry,180
New York,Physics,220
New York,Geology,160
San Francisco,Astronomy,320
San Francisco,Biology,290
San Francisco,Chemistry,200
San Francisco,Physics,250
San Francisco,Geology,180
Seattle,Astronomy,300
Seattle,Biology,260
Seattle,Chemistry,190
Seattle,Physics,230
Seattle,Geology,170
Austin,Astronomy,310
Austin,Biology,240
Austin,Chemistry,210
Austin,Physics,200
Austin,Geology,190
Boston,Astronomy,280
Boston,Biology,250
Boston,Chemistry,220
Boston,Physics,210
Boston,Geology,180
Chicago,Astronomy,290
Chicago,Biology,240
Chicago,Chemistry,230
Chicago,Physics,220
Chicago,Geology,200
Miami,Astronomy,260
Miami,Biology,230
Miami,Chemistry,210
Miami,Physics,200
Miami,Geology,170
Los Angeles,Astronomy,300
Los Angeles,Biology,270
Los Angeles,Chemistry,240
Los Angeles,Physics,230
Los Angeles,Geology,210
""
