""
City,Category,Number of Mentions
New York,Movies,450
New York,Music,370
New York,Theater,250
New York,Art,310
New York,Dance,210
San Francisco,Movies,400
San Francisco,Music,360
San Francisco,Theater,270
San Francisco,Art,320
San Francisco,Dance,220
Seattle,Movies,380
Seattle,Music,340
Seattle,Theater,260
Seattle,Art,330
Seattle,Dance,210
Austin,Movies,390
Austin,Music,330
Austin,Theater,280
Austin,Art,300
Austin,Dance,230
Boston,Movies,370
Boston,Music,320
Boston,Theater,290
Boston,Art,310
Boston,Dance,200
Chicago,Movies,360
Chicago,Music,310
Chicago,Theater,280
Chicago,Art,300
Chicago,Dance,220
Miami,Movies,350
Miami,Music,300
Miami,Theater,270
Miami,Art,290
Miami,Dance,210
Los Angeles,Movies,420
Los Angeles,Music,380
Los Angeles,Theater,300
Los Angeles,Art,340
Los Angeles,Dance,230
""
