User, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
Anna, 4.1, 3.7, 4.0, 3.5, 5.2, 6.8, 7.1
Ben, 2.5, 2.0, 2.7, 3.1, 3.5, 4.0, 4.5
Cody, 1.2, 1.5, 1.4, 1.3, 1.7, 2.2, 2.0
Diana, 3.8, 3.9, 4.3, 4.0, 5.0, 5.5, 6.0
Evan, 5.5, 5.0, 5.7, 5.5, 6.2, 7.0, 7.5
Fiona, 3.2, 2.8, 3.0, 3.3, 3.6, 4.1, 4.3
Gina, 4.0, 4.2, 4.1, 4.1, 4.8, 5.3, 5.5
Hank, 1.5, 1.7, 2.0, 2.2, 2.4, 2.6, 2.5
Ivy, 6.0, 5.8, 6.2, 6.1, 7.3, 8.2, 8.5
Jack, 2.3, 2.1, 2.2, 2.5, 2.7, 3.1, 3.3
Karl, 3.7, 3.5, 3.9, 3.8, 4.4, 5.0, 5.2
Lia, 7.1, 6.8, 7.0, 6.9, 8.0, 9.1, 9.4
