Community,Year,Sport,Participants,Participant Age Range,Facility Cost per Hour ($)
Pleasantville,2022,Soccer,180,5-15,75
Pleasantville,2022,Basketball,150,13-35,50
Pleasantville,2022,Tennis,90,20-60,30
Greenfield,2022,Baseball,220,10-20,100
Greenfield,2022,Swimming,300,All ages,120
Greenfield,2022,Cycling,200,16-50,15
Lakewood,2022,Volleyball,130,15-40,40
Lakewood,2022,Running,350,All ages,5
Lakewood,2022,Yoga,170,25-60,35
Hometown,2023,Soccer,160,5-15,80
Hometown,2023,Gymnastics,120,8-30,60
Hometown,2023,Dance,190,5-50,55
