City,Coffee Shop Name,Rating out of 5,Check-ins per Week,Average Cup Price ($)
Portland,Stumptown,4.8,320,3.50
New York,Blue Bottle,4.5,540,4.00
San Francisco,Sightglass,4.7,410,3.75
Nashville,Barista Parlor,4.6,380,3.80
Austin,Caffe Medici,4.3,300,3.20
Denver,Corvus Coffee Roasters,4.9,290,3.60
Chicago,Intelligentsia,4.6,620,3.95
Seattle,Storyville Coffee,4.7,400,3.70
Boston,Tatte Bakery & Cafe,4.2,450,3.30
Los Angeles,Go Get Em Tiger,4.8,480,4.10
Miami,Panther Coffee,4.4,350,3.45
Atlanta,Octane Coffee,4.5,330,3.25
