""
Artists,Albums,Sales
The Beatles,Abbey Road,5
Elvis Presley,Elvis: As Recorded at Madison Square Garden,7
Michael Jackson,Thriller,10
Madonna,Like a Virgin,9
Led Zeppelin,Led Zeppelin IV,8
Pink Floyd,The Dark Side of the Moon,6
Whitney Houston,Whitney,4
Elton John,Goodbye Yellow Brick Road,8
Mariah Carey,Daydream,7
Queen,A Night at the Opera,5
Prince,Purple Rain,6
Adele,21,9
Taylor Swift,Fearless,8
Beyoncé,Lemonade,7
Drake,Views,10
Kanye West,The College Dropout,9
Coldplay,A Rush of Blood to the Head,8
Eminem,The Marshall Mathers LP,10
Lady Gaga,The Fame,7
Rihanna,Good Girl Gone Bad,6
Katy Perry,Teenage Dream,9
Justin Timberlake,FutureSex/LoveSounds,8
Britney Spears,...Baby One More Time,7
Usher,Confessions,6
Bruno Mars,Doo-Wops & Hooligans,5
""
