""
City,Hours_of_Exercise,Calories_Burned,Color
New York,3.5,350,#1f77b4
Los Angeles,4.0,400,#ff7f0e
Paris,3.8,370,#2ca02c
London,4.2,410,#d62728
Tokyo,4.5,450,#9467bd
Beijing,4.1,420,#8c564b
Sydney,3.9,390,#e377c2
Cape Town,3.7,365,#7f7f7f
Moscow,4.3,430,#bcbd22
Rio de Janeiro,4.0,400,#17becf
Berlin,3.6,360,#1f77b4
Seoul,4.4,440,#ff7f0e
Madrid,3.9,395,#2ca02c
Toronto,4.0,405,#d62728
Chicago,4.2,415,#9467bd
Dubai,3.8,375,#8c564b
Mexico City,4.1,425,#e377c2
Buenos Aires,3.6,355,#7f7f7f
Mumbai,4.3,435,#bcbd22
Rome,3.7,370,#17becf
""
