""
day,engagement_time,page_views,visitor_source
1,25,150,SEO
2,30,170,Direct
3,35,180,Referral
4,40,190,Social
5,28,160,Email
6,50,210,SEO
7,45,200,Direct
8,30,170,Referral
9,20,140,Social
10,35,185,Email
11,38,190,SEO
12,32,175,Direct
13,48,205,Referral
14,27,155,Social
15,33,180,Email
16,29,165,SEO
17,40,195,Direct
18,25,150,Referral
19,36,185,Social
20,34,180,Email
21,50,210,SEO
22,45,200,Direct
23,35,185,Referral
24,28,160,Social
25,40,195,Email
26,42,200,SEO
27,30,175,Direct
28,35,180,Referral
29,50,210,Social
30,38,190,Email
""
