""
City, Number of Films Watched (per year), Leisure Hours (per week), Colors
New York, 45, 10.5, #ff0000
Los Angeles, 52, 11.0, #00ff00
Paris, 50, 12.0, #0000ff
London, 55, 12.5, #ff00ff
Tokyo, 60, 13.0, #00ffff
Beijing, 57, 13.5, #ffff00
Sydney, 48, 14.0, #ff9900
Cape Town, 49, 10.0, #9933ff
Moscow, 43, 11.5, #6699ff
Rio de Janeiro, 50, 10.8, #99cc00
Berlin, 55, 12.3, #ff3399
Seoul, 60, 11.1, #ccff33
Madrid, 53, 12.6, #cc33ff
Toronto, 50, 13.3, #ffcc00
Chicago, 45, 14.2, #00ccff
Dubai, 48, 10.6, #33cc33
Mexico City, 55, 11.8, #cc6633
Buenos Aires, 49, 13.1, #ff6699
Mumbai, 58, 14.5, #339999
Rome, 52, 12.2, #ff99cc
""
