""
Date,Visitors
2024-01-01,450
2024-02-01,520
2024-03-01,600
2024-04-01,750
2024-05-01,800
2024-06-01,700
2024-07-01,950
2024-08-01,1100
2024-09-01,850
2024-10-01,900
2024-11-01,700
2024-12-01,650
2024-01-02,460
2024-02-02,530
2024-03-02,610
2024-04-02,760
2024-05-02,810
2024-06-02,710
2024-07-02,960
2024-08-02,1110
2024-09-02,860
2024-10-02,910
2024-11-02,710
2024-12-02,660
2024-01-03,470
2024-02-03,540
2024-03-03,620
2024-04-03,770
2024-05-03,820
2024-06-03,720
2024-07-03,970
2024-08-03,1120
2024-09-03,870
2024-10-03,920
2024-11-03,720
2024-12-03,670
""
