""
Country,Average_Salary,Research_Expenditure,Color
USA,85000,18000,#1E90FF
Canada,79000,16500,#FF4500
Germany,77000,17000,#32CD32
UK,82000,17500,#FFD700
France,78000,16000,#8A2BE2
Japan,83000,19000,#DC143C
Australia,80000,18500,#00CED1
South Korea,75000,15000,#FF1493
China,72000,14000,#7FFF00
India,65000,11000,#FF69B4
Brazil,70000,13000,#B22222
South Africa,68000,12000,#6A5ACD
Russia,74000,15500,#FF8C00
Mexico,67000,12500,#7CFC00
Italy,73000,14500,#D2691E
Spain,71000,13500,#6495ED
Netherlands,76000,16000,#DB7093
Sweden,79000,17000,#00BFFF
Switzerland,88000,19500,#FFDAB9
Austria,74000,15500,#98FB98
Norway,82000,18000,#FF00FF
Denmark,80000,17500,#BA55D3
Finland,75000,15000,#CD5C5C
Ireland,78000,16500,#20B2AA
Belgium,76000,16000,#87CEEB
Singapore,85000,20000,#00FA9A
New Zealand,74000,15500,#9370DB
Argentina,69000,12500,#3CB371
Chile,72000,14000,#FF6347
Colombia,66000,11500,#4682B4
""
