""
City,Annual GDP Growth Rate,Unemployment Rate
Bangkok,3.5,1.2
London,1.8,4.5
Paris,2.0,3.9
Dubai,3.2,2.3
New York,1.5,5.2
Singapore,3.6,2.1
Kuala Lumpur,4.0,1.8
Istanbul,2.8,3.4
Tokyo,1.7,3.0
Barcelona,2.5,4.0
Sydney,3.3,2.6
Rome,1.9,3.8
Los Angeles,1.6,5.3
Amsterdam,2.7,3.1
Madrid,2.2,4.2
Toronto,2.9,2.4
Hong Kong,3.4,1.9
Vienna,2.1,3.3
Seoul,2.6,2.7
San Francisco,1.4,5.5
Shanghai,4.2,2.0
Mumbai,3.8,1.6
Berlin,1.8,3.7
Cape Town,2.4,3.5
Moscow,2.3,4.1
Mexico City,3.1,3.2
Buenos Aires,3.0,3.6
Rio de Janeiro,2.7,3.8
Cairo,3.5,4.0
Jakarta,4.1,2.2
""
