""
Instrument,Year,Revenue
VanGoghExhibit,2021,500
BroadwayShow,2019,800
MusicFestival,2020,600
ContemporaryArt,2022,300
ClassicalConcert,2021,400
StreetArtFair,2019,500
DancePerformance,2020,350
Opera,2022,250
SculptureExhibit,2021,450
JazzNight,2020,700
PhotographyShow,2019,750
FilmFestival,2021,650
CraftMarket,2022,150
ComicCon,2021,200
Circus,2020,500
MuseumGala,2022,550
TheatrePlay,2021,400
SymphonyOrchestra,2019,100
MagicShow,2020,300
PuppetShow,2022,50
Ballet,2021,100
IndieFilmScreening,2019,80
""
