""
Country,Artist,Song_Release_Year,Digital_Streams,MV_Views
USA,Taylor Swift,2017,300,200
UK,Ed Sheeran,2017,350,250
Canada,Drake,2018,450,370
Australia,Sia,2016,220,150
France,David Guetta,2017,210,180
Germany,Zedd,2019,230,210
South Korea,BTS,2018,480,500
Spain,Enrique Iglesias,2016,340,290
Brazil,Anitta,2019,260,200
Japan,Kenshi Yonezu,2018,400,420
India,Arijit Singh,2017,370,310
Mexico,Thalía,2016,270,230
Netherlands,Martin Garrix,2018,390,360
Sweden,Zara Larsson,2019,280,260
Italy,Lorenzo Jovanotti,2017,240,180
Russia,Nyusha,2018,310,250
Argentina,TINI,2019,290,220
Nigeria,WizKid,2018,350,330
""
