""
Movie,Release_Year,Box_Office_Gross
Avatar,2009,2920
Avengers: Endgame,2019,2797
Titanic,1997,2187
Star Wars: The Force Awakens,2015,2068
Avengers: Infinity War,2018,2048
Jurassic World,2015,1671
The Lion King,2019,1663
The Avengers,2012,1518
Furious 7,2015,1516
Frozen II,2019,1450
Avengers: Age of Ultron,2015,1405
Black Panther,2018,1347
Harry Potter and the Deathly Hallows: Part 2,2011,1342
Star Wars: The Last Jedi,2017,1332
Jurassic World: Fallen Kingdom,2018,1309
Frozen,2013,1290
Beauty and the Beast,2017,1263
Incredibles 2,2018,1243
The Fate of the Furious,2017,1236
Iron Man 3,2013,1215
""
