""
Country,Artist,Event_Year,Social_Media_Followers,Online_Engagement
USA,Billie Eilish,2019,700,520
UK,Dua Lipa,2020,600,480
Canada,Shawn Mendes,2020,650,510
Australia,Tones and I,2019,500,390
France,Christine and the Queens,2018,450,370
Germany,Zedd,2017,430,360
South Korea,BTS,2021,900,780
Spain,Rosalía,2019,400,350
Brazil,Anitta,2018,470,380
Japan,Kenshi Yonezu,2019,520,400
India,Arijit Singh,2020,680,450
Mexico,Camila Cabello,2020,620,500
Netherlands,Martin Garrix,2018,580,470
Sweden,Zara Larsson,2019,530,410
Italy,Laura Pausini,2018,490,380
Russia,Nyusha,2017,460,350
Argentina,Lali,2019,480,360
Nigeria,Tiwa Savage,2020,510,430
""
