""
city,average_income,education_expenditure,color
New York,65000,12000,#1F77B4
Los Angeles,62000,11000,#FF7F0E
Paris,58000,15000,#2CA02C
London,61000,13000,#D62728
Tokyo,72000,14000,#9467BD
Beijing,50000,10000,#8C564B
Sydney,67000,12500,#E377C2
Cape Town,45000,9000,#7F7F7F
Moscow,48000,9500,#BCBD22
Rio de Janeiro,37000,8000,#17BECF
Berlin,59000,13500,#AEC7E8
Toronto,63000,12000,#FFBB78
Dubai,80000,16000,#98DF8A
Mumbai,25000,6000,#FF9896
Mexico City,30000,7000,#C5B0D5
Hong Kong,71000,15000,#C49C94
Buenos Aires,34000,7500,#F7B6D2
Cairo,27000,5000,#C7C7C7
Bangkok,28000,6500,#DBDB8D
Lagos,20000,4000,#9EDAE5
""
