""
Company,Employees,Revenue
Apple,147000,274515
Microsoft,181000,143015
Amazon,1298000,386064
Google,135301,182527
Facebook,58604,85965
Alibaba,252084,109480
Tencent,85858,73657
Berkshire Hathaway,360000,245510
Samsung,287439,211940
Toyota,366283,275288
Volkswagen,304174,275188
Sony,111700,75875
Huawei,197000,136700
IBM,345900,73563
Intel,110600,77967
Xiaomi,23000,37850
Nike,75400,37403
Disney,223000,65432
Tesla,70757,31536
Adobe,22630,12910
Netflix,9400,25000
Spotify,7000,9500
Zoom,4500,2700
Twitter,5500,3500
Salesforce,57000,21000
Uber,22000,11800
Airbnb,5400,3800
Shopify,7000,2900
""
