""
Person,Year of Birth,Net Worth (in billions)
Elon Musk,1971,219
Jeff Bezos,1964,177
Bernard Arnault,1949,158
Bill Gates,1955,129
Mark Zuckerberg,1984,118
Warren Buffett,1930,111
Larry Ellison,1944,106
Larry Page,1973,103
Sergey Brin,1973,100
Mukesh Ambani,1957,94
Steve Ballmer,1956,93
Carlos Slim,1940,86
Francoise Bettencourt Meyers,1953,85
Amancio Ortega,1936,75
Michael Bloomberg,1942,70
Jim Walton,1948,66
Alice Walton,1949,65
Rob Walton,1944,64
MacKenzie Scott,1970,62
Phil Knight,1938,60
""
