""
Name,Year_of_Birth,Career_Earnings
Michael Jordan,1963,1700
Tiger Woods,1975,1200
Cristiano Ronaldo,1985,1000
LeBron James,1984,1100
Lionel Messi,1987,1000
Roger Federer,1981,900
Floyd Mayweather,1977,1000
Serena Williams,1981,300
Tom Brady,1977,300
Usain Bolt,1986,150
Michael Schumacher,1969,1000
Phil Mickelson,1970,950
David Beckham,1975,800
Kobe Bryant,1978,600
Shaquille O'Neal,1972,700
Kevin Durant,1988,600
Neymar,1992,500
Maria Sharapova,1987,325
Simone Biles,1997,100
Rafael Nadal,1986,600
""
