""
City,Average Annual Rainfall (inches),Annual Visitor Count (millions)
New York,49.9,18
Los Angeles,14.8,16
Chicago,36.9,14
Houston,49.8,20
Phoenix,8.04,8
Philadelphia,41.5,12
San Antonio,32.9,10
San Diego,10.3,7
Dallas,37.6,9
San Jose,15.8,5
Austin,34.3,11
Jacksonville,50.3,6
Fort Worth,34.0,7
Columbus,39.2,8
Charlotte,43.1,9
Seattle,37.5,15
Denver,14.3,12
El Paso,8.8,5
Detroit,33.5,6
Boston,49.9,17
Miami,61.9,14
Atlanta,50.2,13
Orlando,52.2,10
Minneapolis,30.6,11
Tampa,46.3,8
Cincinnati,42.6,7
Sacramento,18.5,9
Las Vegas,4.2,6
Portland,36.2,10
St. Louis,41.0,7
Baltimore,41.9,8
Milwaukee,34.8,6
Kansas City,39.1,7
Cleveland,39.1,6
""
