""
city,average_income,education_expenditure
New York,65000,12000
Los Angeles,62000,11000
Paris,58000,15000
London,61000,13000
Tokyo,72000,14000
Beijing,50000,10000
Sydney,67000,12500
Cape Town,45000,9000
Moscow,48000,9500
Rio de Janeiro,37000,8000
Berlin,59000,13500
Toronto,63000,12000
Dubai,80000,16000
Mumbai,25000,6000
Mexico City,30000,7000
Hong Kong,71000,15000
Buenos Aires,34000,7500
Cairo,27000,5000
Bangkok,28000,6500
Lagos,20000,4000
Singapore,75000,15500
Seoul,69000,14500
Sao Paulo,42000,8500
Istanbul,38000,8200
Vienna,64000,12800
Stockholm,68000,13800
Zurich,90000,17000
Buenos Aires,32000,7200
Copenhagen,76000,16000
Bangkok,29000,6400
""
