""
city,number_of_bookstores,visitors_per_bookstore
Paris,95,2.0
London,120,1.8
New York,85,2.3
Rome,70,1.6
Berlin,90,1.9
Madrid,60,1.2
Vienna,80,1.7
Amsterdam,50,1.5
Athens,65,1.4
Florence,45,1.3
Tokyo,110,1.8
Moscow,105,2.1
Chicago,75,2.0
Los Angeles,85,1.9
Barcelona,55,1.2
San Francisco,65,2.2
Toronto,70,1.7
Sydney,60,2.0
Seoul,100,1.5
Mumbai,80,1.8
Beijing,90,1.7
Shanghai,95,2.1
Hong Kong,85,1.6
Singapore,70,1.8
Dubai,50,2.0
Bangkok,65,1.9
Kuala Lumpur,45,1.4
Jakarta,60,1.2
Buenos Aires,75,1.5
Mexico City,80,2.0
""
