""
Year,Manned Missions,Unmanned Missions,Discoveries,Funding,Public Interest
2000,25,20,15,30,10
2001,23,22,18,25,12
2002,24,18,15,33,10
2003,22,20,17,30,11
2004,26,19,16,27,12
2005,30,21,14,25,10
2006,28,23,15,24,10
2007,27,20,18,25,10
2008,29,19,16,26,10
2009,25,22,20,23,10
2010,24,24,19,22,11
2011,26,23,17,24,10
2012,27,21,18,25,9
2013,28,20,15,27,10
2014,26,22,16,26,10
2015,30,20,17,23,10
2016,27,22,19,22,10
2017,29,21,18,22,10
2018,28,24,16,22,10
2019,27,23,15,25,10
2020,26,25,17,22,10
""
