""
Year,Elementary - Arts,Elementary - Science,Elementary - Commerce,High School - Arts,High School - Science,High School - Commerce,Undergraduate - Arts,Undergraduate - Science,Undergraduate - Commerce,Postgraduate - Arts,Postgraduate - Science,Postgraduate - Commerce,Ph.D. - Arts,Ph.D. - Science,Ph.D. - Commerce
2010,5,10,5,13,20,7,15,25,10,17,30,13,10,15,5
2011,6,9,5,14,18,8,16,22,12,15,32,13,11,14,5
2012,7,8,5,15,17,8,17,26,7,18,28,14,12,13,5
2013,8,7,5,16,16,8,20,28,2,16,26,18,12,15,3
2014,7,8,5,17,15,8,22,26,2,17,28,15,13,12,5
2015,6,9,5,15,18,7,23,25,2,19,26,15,14,11,5
2016,5,10,5,13,20,7,25,22,3,20,24,16,15,10,5
2017,4,11,5,12,22,6,27,21,2,21,25,14,16,8,6
2018,3,12,5,10,24,6,29,20,1,22,23,15,17,9,4
2019,2,13,5,8,26,6,30,18,2,23,21,16,18,8,4
""
