""
Category,Mobile,Desktop,Laptop,Tablet,Wearable
Art & Design,30,55,10,4,1
Science & Nature,40,35,15,8,2
Health & Psychology,25,45,20,7,3
Culture & Society,45,30,15,8,2
Economics & Finance,50,30,10,7,3
Education & Learning,35,40,15,8,2
Entertainment & Leisure,55,25,10,6,4
Environment & Climate Change,30,40,20,7,3
Food & Nutrition,45,25,20,7,3
Travel & Adventure,40,30,15,10,5
Fashion & Beauty,25,50,15,7,3
Politics & Governance,35,45,12,6,2
Sports & Fitness,20,55,15,5,5
History & Archaeology,50,20,15,10,5
Philosophy & Ethics,45,35,10,5,5
Music & Performing Arts,30,40,20,7,3
Literature & Writing,40,20,25,10,5
Business & Entrepreneurship,55,35,5,3,2
Astronomy & Space Exploration,20,60,10,8,2
""
