""
City,DailyFruitIntake,VitaminCLevel
New York,2.5,45
Los Angeles,3.0,50
Chicago,1.8,35
Houston,2.2,42
Phoenix,2.7,48
Philadelphia,2.9,47
San Antonio,1.5,30
San Diego,3.3,52
Dallas,2.0,40
San Jose,2.8,49
Austin,3.1,51
Jacksonville,1.6,33
Fort Worth,2.4,43
Columbus,2.6,46
Charlotte,1.7,34
Indianapolis,1.9,38
Seattle,3.2,50
Denver,2.1,41
Boston,3.4,53
El Paso,1.4,28
Detroit,1.3,25
Nashville,1.5,32
Memphis,1.2,22
Portland,2.3,44
Las Vegas,2.6,45
Louisville,2.0,36
Baltimore,1.9,37
Milwaukee,2.7,48
Albuquerque,2.2,42
Tucson,2.4,43
""
