""
City,UnemploymentRate,PovertyRate
New York,4.2,15.5
Los Angeles,5.0,18.3
Chicago,6.3,17.2
Houston,4.5,19.8
Phoenix,4.0,16.7
Philadelphia,5.8,22.4
San Antonio,4.6,17.0
San Diego,3.5,14.8
Dallas,4.1,15.6
San Jose,3.2,11.9
Austin,3.4,13.2
Jacksonville,5.0,17.5
Fort Worth,4.3,16.0
Columbus,4.8,18.1
Charlotte,4.5,16.5
Indianapolis,5.2,19.0
Seattle,3.6,11.5
Denver,4.0,12.3
Boston,3.3,10.9
El Paso,5.5,20.3
Detroit,7.1,24.7
Nashville,3.7,13.7
Memphis,6.0,21.5
Portland,4.3,12.9
Las Vegas,6.8,20.1
Louisville,4.8,17.3
Baltimore,5.7,21.2
Milwaukee,6.2,23.5
Albuquerque,5.9,19.6
Tucson,4.9,18.8
""
