""
City,AverageTemperature,HumidityPercentage
New York,15.5,78
Los Angeles,19.2,64
Chicago,13.0,70
Houston,20.3,83
Phoenix,23.4,45
Philadelphia,14.7,71
San Antonio,22.1,60
San Diego,18.5,69
Dallas,21.2,65
San Jose,17.8,78
Austin,21.0,68
Jacksonville,19.9,75
Fort Worth,20.7,66
Columbus,12.6,70
Charlotte,17.2,73
Indianapolis,13.7,68
Seattle,10.6,85
Denver,16.1,52
Boston,13.2,77
El Paso,21.8,44
Detroit,12.1,73
Nashville,16.9,69
Memphis,18.8,74
Portland,11.9,83
Las Vegas,24.5,22
Louisville,15.9,71
Baltimore,14.3,76
Milwaukee,11.7,75
Albuquerque,18.6,45
Tucson,21.6,39
""
