""
City,Year,Mental_Health_Score
New York,2010,70
Los Angeles,2010,65
Chicago,2010,75
Houston,2010,60
Phoenix,2010,68
Philadelphia,2010,64
San Antonio,2010,72
San Diego,2010,66
Dallas,2010,71
San Jose,2010,69
New York,2011,73
Los Angeles,2011,67
Chicago,2011,78
Houston,2011,62
Phoenix,2011,70
Philadelphia,2011,66
San Antonio,2011,75
San Diego,2011,68
Dallas,2011,74
San Jose,2011,71
New York,2012,76
Los Angeles,2012,69
Chicago,2012,80
Houston,2012,65
Phoenix,2012,73
Philadelphia,2012,68
San Antonio,2012,78
San Diego,2012,70
Dallas,2012,77
San Jose,2012,73
New York,2013,78
Los Angeles,2013,72
Chicago,2013,83
Houston,2013,67
Phoenix,2013,75
Philadelphia,2013,70
San Antonio,2013,81
San Diego,2013,72
Dallas,2013,79
San Jose,2013,76
""
