""
Day,StockPrice,TradingVolume
1,150,20000
2,155,21000
3,160,19500
4,158,22000
5,162,22500
6,161,20500
7,165,23000
8,168,21500
9,170,24000
10,169,23500
11,172,25000
12,174,24500
13,175,25500
14,173,26000
15,177,26500
16,179,27000
17,176,27500
18,180,28000
19,182,28500
20,181,29000
21,184,29500
22,186,30000
23,188,30500
24,185,31000
25,189,31500
26,190,32000
27,192,32500
28,191,33000
29,194,33500
30,195,34000
31,193,34500
32,196,35000
33,198,35500
34,197,36000
35,199,36500
36,200,37000
37,202,37500
38,201,38000
39,204,38500
40,206,39000
41,205,39500
42,208,40000
43,207,40500
44,209,41000
45,210,41500
46,212,42000
47,211,42500
48,214,43000
49,213,43500
50,215,44000
""
