""
# Table data
AthleteID,TrainingHours,PerformanceScore
1,1.0,55
2,2.0,58
3,3.0,61
4,4.0,65
5,5.0,68
6,6.0,70
7,7.0,73
8,8.0,75
9,9.0,77
10,10.0,79
11,11.0,82
12,12.0,84
13,13.0,85
14,14.0,87
15,15.0,88
16,16.0,89
17,17.0,91
18,18.0,92
19,19.0,94
20,20.0,95
21,21.0,96
22,22.0,98
23,23.0,99
24,24.0,100
25,25.0,101
26,26.0,102
27,27.0,103
28,28.0,104
29,29.0,105
30,30.0,106
31,31.0,107
32,32.0,108
33,33.0,109
34,34.0,110
35,35.0,111
36,36.0,112
37,37.0,113
38,38.0,114
39,39.0,115
40,40.0,116
41,41.0,117
42,42.0,118
43,43.0,119
44,44.0,120
45,45.0,121
46,46.0,122
47,47.0,123
48,48.0,124
49,49.0,125
50,50.0,126
""
