""
Day,PodcastPlays,OnlineCourseEnrollments
1,150,30
2,200,45
3,250,55
4,180,40
5,220,50
6,275,60
7,195,48
8,230,52
9,240,58
10,210,47
11,260,63
12,280,65
13,170,42
14,225,53
15,215,49
16,265,61
17,245,59
18,205,46
19,235,54
20,255,62
21,180,44
22,220,51
23,250,56
24,190,43
25,200,47
26,270,64
27,210,48
28,230,55
29,240,57
30,220,50
31,265,66
32,250,58
33,230,52
34,245,59
35,255,63
36,210,46
37,225,54
38,235,60
39,215,50
40,260,65
41,275,67
42,195,45
43,205,49
44,255,62
45,240,55
46,230,51
47,225,53
48,265,66
49,250,60
50,270,64
""
