""
City,Year,Attendance
New York,2010,30000
Los Angeles,2010,28000
Chicago,2010,25000
Houston,2010,22000
Phoenix,2010,27000
Philadelphia,2010,24000
San Antonio,2010,21000
San Diego,2010,23000
Dallas,2010,26000
San Jose,2010,20000
New York,2011,32000
Los Angeles,2011,29000
Chicago,2011,26000
Houston,2011,23000
Phoenix,2011,28000
Philadelphia,2011,25000
San Antonio,2011,22000
San Diego,2011,24000
Dallas,2011,27000
San Jose,2011,21000
New York,2012,31000
Los Angeles,2012,30000
Chicago,2012,25500
Houston,2012,22500
Phoenix,2012,27500
Philadelphia,2012,24500
San Antonio,2012,21500
San Diego,2012,23500
Dallas,2012,26500
San Jose,2012,20500
New York,2013,33000
Los Angeles,2013,31000
Chicago,2013,26500
Houston,2013,23500
Phoenix,2013,28500
Philadelphia,2013,25500
San Antonio,2013,22500
San Diego,2013,24500
Dallas,2013,27500
San Jose,2013,21500
""
