""
City,AverageTemperature,Humidity
New York,16,73
Los Angeles,19,65
Chicago,13,70
Houston,23,80
Phoenix,28,23
Philadelphia,15,72
San Antonio,25,66
San Diego,18,68
Dallas,22,64
San Jose,20,60
Austin,24,68
Jacksonville,26,88
Fort Worth,21,65
Columbus,14,70
Charlotte,20,75
Detroit,12,78
El Paso,27,23
Seattle,13,82
Denver,12,55
Washington,18,71
Nashville,19,69
Boston,12,76
Memphis,20,74
Portland,15,83
Oklahoma City,19,64
Las Vegas,30,22
Louisville,18,72
Baltimore,17,70
Milwaukee,11,77
Albuquerque,25,45
Tucson,27,35
Fresno,24,47
Sacramento,22,61
Kansas City,20,69
Long Beach,21,63
Mesa,29,25
Atlanta,20,71
Virginia Beach,19,72
Omaha,15,69
Colorado Springs,14,54
""
