""
Company,Revenue,RD_Spending
Company A,800000,120000
Company B,900000,100000
Company C,850000,95000
Company D,1100000,150000
Company E,750000,80000
Company F,940000,110000
Company G,990000,130000
Company H,1040000,140000
Company I,880000,90000
Company J,960000,105000
Company K,870000,85000
Company L,920000,98000
Company M,1000000,125000
Company N,910000,102000
Company O,870000,89000
Company P,950000,108000
Company Q,990000,130000
Company R,850000,92000
Company S,930000,106000
Company T,890000,95000
""
