""
Category,Popularity_Rating,Sales_Figure
Luxury_Brands,90,500
Streetwear,85,450
Athleisure,80,400
Casual_Wear,75,350
Formal_Wear,70,300
Vintage_Fashion,65,250
Eco_Fashion,95,550
Fast_Fashion,60,200
High_Street,55,150
Handmade_Fashion,50,100
Bohemian,88,480
Gothic,58,180
Punk,78,380
Retro,68,280
Hip_Hop,83,420
Grunge,62,220
Preppy,73,330
Minimalist,77,370
Avant_Garde,92,520
Sportswear,87,460
Business_Casual,72,320
Y2K,67,270
Loungewear,82,410
Indie,66,260
Artisanal,71,310
Haute_Couture,93,530
Techwear,81,400
Costume_Design,74,340
Glam,79,390
Beachwear,76,360
""
