""
University,Monthly_Expense,Student_Satisfaction
Harvard,2000,4.7
Stanford,2100,4.6
MIT,1900,4.8
Caltech,1800,4.5
Princeton,2200,4.7
Yale,2050,4.6
Columbia,1950,4.7
UChicago,2000,4.5
UPenn,2100,4.7
Brown,1850,4.4
Cornell,1950,4.6
Duke,2000,4.5
Northwestern,2050,4.6
Johns_Hopkins,1900,4.5
Dartmouth,1800,4.4
Vanderbilt,1950,4.6
Rice,2050,4.5
Notre_Dame,1850,4.4
WashU,2000,4.6
Georgetown,2100,4.5
UC_Berkeley,1750,4.3
UCLA,1800,4.4
Michigan,1900,4.5
UVA,1850,4.4
UNC,1950,4.5
Boston_College,2000,4.4
Emory,2100,4.5
USC,2200,4.6
NYU,2250,4.5
Carnegie_Mellon,1950,4.6
""
