""
PlayerID,HoursStudied,ExamScore
1,1.0,55
2,1.5,60
3,2.0,58
4,2.5,62
5,3.0,64
6,3.5,67
7,4.0,70
8,4.5,73
9,5.0,75
10,5.5,78
11,6.0,80
12,6.5,82
13,7.0,85
14,7.5,87
15,8.0,89
16,8.5,91
17,9.0,93
18,9.5,95
19,10.0,97
20,10.5,99
21,11.0,100
22,11.5,102
23,12.0,103
24,12.5,105
25,13.0,106
26,13.5,108
27,14.0,109
28,14.5,111
29,15.0,112
30,15.5,114
31,16.0,115
32,16.5,117
33,17.0,118
34,17.5,120
35,18.0,121
36,18.5,123
37,19.0,124
38,19.5,126
39,20.0,127
40,20.5,128
41,21.0,130
42,21.5,131
43,22.0,132
44,22.5,134
45,23.0,135
46,23.5,136
47,24.0,138
48,24.5,139
49,25.0,140
50,25.5,141
51,26.0,143
52,26.5,144
53,27.0,145
54,27.5,147
55,28.0,148
56,28.5,149
57,29.0,150
58,29.5,152
59,30.0,153
""
