`
City,LifeExpectancy,AnnualHealthExpenditure
New York,81.2,6500
Los Angeles,80.3,6100
Chicago,77.5,5900
Houston,78.1,6200
Phoenix,79.0,5700
Philadelphia,77.9,6300
San Antonio,80.1,5500
San Diego,81.0,6800
Dallas,78.5,6000
San Jose,82.2,6900
Austin,79.7,5400
Jacksonville,76.9,5200
Fort Worth,78.8,5800
Columbus,77.3,5600
Charlotte,78.4,6000
Indianapolis,76.5,5300
Seattle,82.0,7200
Denver,80.5,7000
Boston,82.5,7300
El Paso,79.1,5100
Detroit,75.9,4900
Nashville,77.0,5700
Memphis,75.5,5000
Portland,81.7,6600
Las Vegas,78.0,5900
Louisville,76.7,5200
Baltimore,76.8,5600
Milwaukee,76.2,5400
Albuquerque,79.2,5800
Tucson,79.8,5500
""
